type,age group,year,month,N,Pop,Crude Rate,LCL,UCL,total_all_causes,percent
suicide,25_44,2019,Mar,32,"1,659,636",23.14,15.12,31.15,183,17.49
suicide,25_44,2019,Apr,46,"1,659,636",33.26,23.65,42.87,212,21.7
suicide,25_44,2019,May,35,"1,659,636",25.31,16.92,33.69,212,16.51
suicide,25_44,2019,Jun,40,"1,659,636",28.92,19.96,37.88,222,18.02
suicide,25_44,2019,Jul,49,"1,659,636",35.43,25.51,45.35,215,22.79
suicide,25_44,2019,Aug,38,"1,659,636",27.48,18.74,36.21,224,16.96
suicide,25_44,2019,Sep,31,"1,659,636",22.41,14.52,30.3,191,16.23
suicide,25_44,2019,Oct,33,"1,659,636",23.86,15.72,32,195,16.92
suicide,25_44,2019,Nov,43,"1,659,636",31.09,21.8,40.38,181,23.76
suicide,25_44,2019,Dec,32,"1,659,636",23.14,15.12,31.15,250,12.8
suicide,25_44,2020,Jan,27,"1,713,485",18.91,11.78,26.04,215,12.56
suicide,25_44,2020,Feb,31,"1,713,485",21.71,14.07,29.35,214,14.49
suicide,25_44,2020,Mar,27,"1,713,485",18.91,11.78,26.04,225,12
suicide,25_44,2020,Apr,37,"1,713,485",25.91,17.56,34.26,273,13.55
suicide,25_44,2020,May,21,"1,713,485",14.71,8.42,21,275,7.64
suicide,25_44,2020,Jun,16,"1,713,485",11.21,5.71,16.7,250,6.4
suicide,25_44,2020,Jul,0,"1,713,485",0,0,0,109,0
suicide,25_44,2020,Aug,0,"1,713,485",0,0,0,0,*
suicide,25_44,2020,Sep,0,"1,713,485",0,0,0,0,*
suicide,25_44,2020,Oct,0,"1,713,485",0,0,0,0,*
suicide,25_44,2020,Nov,0,"1,713,485",0,0,0,0,*
suicide,25_44,2020,Dec,0,"1,713,485",0,0,0,0,*
suicide,45_64,2018,Jan,22,"1,434,958",18.4,10.71,26.08,711,3.09
suicide,45_64,2018,Feb,20,"1,434,958",16.73,9.4,24.05,573,3.49
suicide,45_64,2018,Mar,33,"1,434,958",27.6,18.18,37.01,587,5.62
suicide,45_64,2018,Apr,43,"1,434,958",35.96,25.21,46.71,615,6.99
suicide,45_64,2018,May,37,"1,434,958",30.94,20.97,40.91,625,5.92
suicide,45_64,2018,Jun,31,"1,434,958",25.92,16.8,35.05,569,5.45
suicide,45_64,2018,Jul,32,"1,434,958",26.76,17.49,36.03,596,5.37
suicide,45_64,2018,Aug,33,"1,434,958",27.6,18.18,37.01,633,5.21
suicide,45_64,2018,Sep,31,"1,434,958",25.92,16.8,35.05,583,5.32
suicide,45_64,2018,Oct,20,"1,434,958",16.73,9.4,24.05,581,3.44
suicide,45_64,2018,Nov,33,"1,434,958",27.6,18.18,37.01,604,5.46
suicide,45_64,2018,Dec,22,"1,434,958",18.4,10.71,26.08,641,3.43
suicide,45_64,2019,Jan,27,"1,437,130",22.54,14.04,31.05,706,3.82
suicide,45_64,2019,Feb,24,"1,437,130",20.04,12.02,28.06,612,3.92
suicide,45_64,2019,Mar,41,"1,437,130",34.23,23.76,44.71,650,6.31
suicide,45_64,2019,Apr,28,"1,437,130",23.38,14.72,32.04,614,4.56
suicide,45_64,2019,May,31,"1,437,130",25.88,16.77,35,609,5.09
suicide,45_64,2019,Jun,26,"1,437,130",21.71,13.37,30.05,596,4.36
suicide,45_64,2019,Jul,30,"1,437,130",25.05,16.09,34.01,636,4.72
suicide,45_64,2019,Aug,29,"1,437,130",24.21,15.4,33.03,590,4.92
suicide,45_64,2019,Sep,23,"1,437,130",19.2,11.36,27.05,575,4
suicide,45_64,2019,Oct,30,"1,437,130",25.05,16.09,34.01,619,4.85
suicide,45_64,2019,Nov,24,"1,437,130",20.04,12.02,28.06,617,3.89
suicide,45_64,2019,Dec,19,"1,437,130",15.86,8.73,23,623,3.05
suicide,45_64,2020,Jan,26,"1,451,882",21.49,13.23,29.75,643,4.04
suicide,45_64,2020,Feb,27,"1,451,882",22.32,13.9,30.73,643,4.2
suicide,45_64,2020,Mar,28,"1,451,882",23.14,14.57,31.71,700,4
suicide,45_64,2020,Apr,33,"1,451,882",27.27,17.97,36.58,807,4.09
suicide,45_64,2020,May,23,"1,451,882",19.01,11.24,26.78,682,3.37
suicide,45_64,2020,Jun,10,"1,451,882",8.27,3.14,13.39,680,1.47
suicide,45_64,2020,Jul,0,"1,451,882",0,0,0,268,0
suicide,45_64,2020,Aug,0,"1,451,882",0,0,0,0,*
suicide,45_64,2020,Sep,0,"1,451,882",0,0,0,0,*
suicide,45_64,2020,Oct,0,"1,451,882",0,0,0,0,*
suicide,45_64,2020,Nov,0,"1,451,882",0,0,0,0,*
suicide,45_64,2020,Dec,0,"1,451,882",0,0,0,0,*
suicide,65+,2018,Jan,16,"808,685",23.74,12.11,35.37,"2,705",0.59
suicide,65+,2018,Feb,14,"808,685",20.77,9.89,31.66,"2,321",0.6
suicide,65+,2018,Mar,16,"808,685",23.74,12.11,35.37,"2,574",0.62
suicide,65+,2018,Apr,12,"808,685",17.81,7.73,27.88,"2,345",0.51
suicide,65+,2018,May,15,"808,685",22.26,11,33.52,"2,271",0.66
suicide,65+,2018,Jun,12,"808,685",17.81,7.73,27.88,"2,013",0.6
suicide,65+,2018,Jul,12,"808,685",17.81,7.73,27.88,"2,095",0.57
suicide,65+,2018,Aug,11,"808,685",16.32,6.68,25.97,"2,235",0.49
suicide,65+,2018,Sep,16,"808,685",23.74,12.11,35.37,"2,097",0.76
suicide,65+,2018,Oct,14,"808,685",20.77,9.89,31.66,"2,350",0.6
suicide,65+,2018,Nov,15,"808,685",22.26,11,33.52,"2,330",0.64
suicide,65+,2018,Dec,11,"808,685",16.32,6.68,25.97,"2,435",0.45
suicide,65+,2019,Jan,7,"843,612",9.96,2.58,17.33,"2,547",0.27
suicide,65+,2019,Feb,13,"843,612",18.49,8.44,28.54,"2,314",0.56
suicide,65+,2019,Mar,10,"843,612",14.22,5.41,23.04,"2,622",0.38
suicide,65+,2019,Apr,15,"843,612",21.34,10.54,32.13,"2,312",0.65
suicide,65+,2019,May,20,"843,612",28.45,15.98,40.92,"2,406",0.83
suicide,65+,2019,Jun,17,"843,612",24.18,12.69,35.68,"2,217",0.77
suicide,65+,2019,Jul,14,"843,612",19.91,9.48,30.35,"2,181",0.64
suicide,65+,2019,Aug,13,"843,612",18.49,8.44,28.54,"2,159",0.6
suicide,65+,2019,Sep,16,"843,612",22.76,11.61,33.91,"2,251",0.71
suicide,65+,2019,Oct,15,"843,612",21.34,10.54,32.13,"2,457",0.61
suicide,65+,2019,Nov,12,"843,612",17.07,7.41,26.73,"2,360",0.51
suicide,65+,2019,Dec,11,"843,612",15.65,6.4,24.89,"2,547",0.43
suicide,65+,2020,Jan,20,"883,987",27.15,15.25,39.05,"2,712",0.74
suicide,65+,2020,Feb,14,"883,987",19,9.05,28.96,"2,506",0.56
suicide,65+,2020,Mar,12,"883,987",16.29,7.07,25.51,"2,723",0.44
suicide,65+,2020,Apr,14,"883,987",19,9.05,28.96,"3,342",0.42
suicide,65+,2020,May,18,"883,987",24.43,13.15,35.72,"2,723",0.66
suicide,65+,2020,Jun,6,"883,987",8.14,1.63,14.66,"2,447",0.25
suicide,65+,2020,Jul,0,"883,987",0,0,0,"1,080",0
suicide,65+,2020,Aug,0,"883,987",0,0,0,0,*
suicide,65+,2020,Sep,0,"883,987",0,0,0,0,*
suicide,65+,2020,Oct,0,"883,987",0,0,0,0,*
suicide,65+,2020,Nov,0,"883,987",0,0,0,0,*
suicide,65+,2020,Dec,0,"883,987",0,0,0,0,*
homicide,all ages,2018,Jan,25,"5,695,073",5.27,3.2,7.33,"3,695",0.68
homicide,all ages,2018,Feb,16,"5,695,073",3.37,1.72,5.02,"3,146",0.51
homicide,all ages,2018,Mar,21,"5,695,073",4.42,2.53,6.32,"3,440",0.61
homicide,all ages,2018,Apr,27,"5,695,073",5.69,3.54,7.84,"3,230",0.84
homicide,all ages,2018,May,19,"5,695,073",4,2.2,5.8,"3,180",0.6
homicide,all ages,2018,Jun,17,"5,695,073",3.58,1.88,5.28,"2,880",0.59
homicide,all ages,2018,Jul,28,"5,695,073",5.9,3.71,8.09,"3,008",0.93
homicide,all ages,2018,Aug,23,"5,695,073",4.85,2.87,6.83,"3,150",0.73
homicide,all ages,2018,Sep,27,"5,695,073",5.69,3.54,7.84,"2,975",0.91
homicide,all ages,2018,Oct,20,"5,695,073",4.21,2.37,6.06,"3,211",0.62
homicide,all ages,2018,Nov,16,"5,695,073",3.37,1.72,5.02,"3,179",0.5
homicide,all ages,2018,Dec,20,"5,695,073",4.21,2.37,6.06,"3,357",0.6
homicide,all ages,2019,Jan,15,"5,761,907",3.12,1.54,4.7,"3,546",0.42
homicide,all ages,2019,Feb,12,"5,761,907",2.5,1.09,3.91,"3,179",0.38
homicide,all ages,2019,Mar,15,"5,761,907",3.12,1.54,4.7,"3,538",0.42
homicide,all ages,2019,Apr,24,"5,761,907",5,3,7,"3,223",0.74
homicide,all ages,2019,May,20,"5,761,907",4.17,2.34,5.99,"3,307",0.6
homicide,all ages,2019,Jun,21,"5,761,907",4.37,2.5,6.24,"3,109",0.68
homicide,all ages,2019,Jul,30,"5,761,907",6.25,4.01,8.48,"3,128",0.96
homicide,all ages,2019,Aug,19,"5,761,907",3.96,2.18,5.74,"3,081",0.62
homicide,all ages,2019,Sep,21,"5,761,907",4.37,2.5,6.24,"3,092",0.68
homicide,all ages,2019,Oct,18,"5,761,907",3.75,2.02,5.48,"3,355",0.54
homicide,all ages,2019,Nov,23,"5,761,907",4.79,2.83,6.75,"3,249",0.71
homicide,all ages,2019,Dec,26,"5,761,907",5.41,3.33,7.5,"3,506",0.74
homicide,all ages,2020,Jan,24,"5,907,198",4.88,2.92,6.83,"3,657",0.66
homicide,all ages,2020,Feb,22,"5,907,198",4.47,2.6,6.34,"3,454",0.64
homicide,all ages,2020,Mar,27,"5,907,198",5.48,3.42,7.55,"3,733",0.72
homicide,all ages,2020,Apr,21,"5,907,198",4.27,2.44,6.09,"4,530",0.46
homicide,all ages,2020,May,21,"5,907,198",4.27,2.44,6.09,"3,783",0.56
homicide,all ages,2020,Jun,10,"5,907,198",2.03,0.77,3.29,"3,470",0.29
homicide,all ages,2020,Jul,0,"5,907,198",0,0,0,"1,500",0
homicide,all ages,2020,Aug,0,"5,907,198",0,0,0,0,*
homicide,all ages,2020,Sep,0,"5,907,198",0,0,0,0,*
homicide,all ages,2020,Oct,0,"5,907,198",0,0,0,0,*
homicide,all ages,2020,Nov,0,"5,907,198",0,0,0,0,*
homicide,all ages,2020,Dec,0,"5,907,198",0,0,0,0,*
homicide,10_18,2018,Jan,0,"667,117",0,0,0,17,0
homicide,10_18,2018,Feb,*,"667,117",*,*,*,18,*
homicide,10_18,2018,Mar,*,"667,117",*,*,*,19,*
homicide,10_18,2018,Apr,*,"667,117",*,*,*,16,*
homicide,10_18,2018,May,*,"667,117",*,*,*,13,*
homicide,10_18,2018,Jun,3,"667,117",5.4,0,11.5,21,14.29
homicide,10_18,2018,Jul,4,"667,117",7.2,0.14,14.25,27,14.81
homicide,10_18,2018,Aug,*,"667,117",*,*,*,9,*
homicide,10_18,2018,Sep,*,"667,117",*,*,*,14,*
homicide,10_18,2018,Oct,*,"667,117",*,*,*,21,*
homicide,10_18,2018,Nov,*,"667,117",*,*,*,13,*
homicide,10_18,2018,Dec,*,"667,117",*,*,*,13,*
homicide,10_18,2019,Jan,*,"668,842",*,*,*,22,*
homicide,10_18,2019,Feb,0,"668,842",0,0,0,16,0
homicide,10_18,2019,Mar,*,"668,842",*,*,*,16,*
homicide,10_18,2019,Apr,*,"668,842",*,*,*,18,*
homicide,10_18,2019,May,4,"668,842",7.18,0.14,14.21,21,19.05
homicide,10_18,2019,Jun,*,"668,842",*,*,*,19,*
homicide,10_18,2019,Jul,3,"668,842",5.38,0,11.47,23,13.04
homicide,10_18,2019,Aug,*,"668,842",*,*,*,20,*
homicide,10_18,2019,Sep,4,"668,842",7.18,0.14,14.21,10,40
homicide,10_18,2019,Oct,0,"668,842",0,0,0,17,0
homicide,10_18,2019,Nov,*,"668,842",*,*,*,21,*
homicide,10_18,2019,Dec,3,"668,842",5.38,0,11.47,14,21.43
homicide,10_18,2020,Jan,4,"673,170",7.13,0.14,14.12,24,16.67
homicide,10_18,2020,Feb,*,"673,170",*,*,*,15,*
homicide,10_18,2020,Mar,*,"673,170",*,*,*,13,*
homicide,10_18,2020,Apr,4,"673,170",7.13,0.14,14.12,25,16
homicide,10_18,2020,May,*,"673,170",*,*,*,27,*
homicide,10_18,2020,Jun,0,"673,170",0,0,0,19,0
homicide,10_18,2020,Jul,0,"673,170",0,0,0,11,0
homicide,10_18,2020,Aug,0,"673,170",0,0,0,0,*
homicide,10_18,2020,Sep,0,"673,170",0,0,0,0,*
homicide,10_18,2020,Oct,0,"673,170",0,0,0,0,*
homicide,10_18,2020,Nov,0,"673,170",0,0,0,0,*
homicide,10_18,2020,Dec,0,"673,170",0,0,0,0,*
homicide,19_24,2018,Jan,3,"478,713",7.52,0,16.03,33,9.09
homicide,19_24,2018,Feb,*,"478,713",*,*,*,34,*
homicide,19_24,2018,Mar,4,"478,713",10.03,0.2,19.85,38,10.53
homicide,19_24,2018,Apr,8,"478,713",20.05,6.16,33.95,29,27.59
homicide,19_24,2018,May,*,"478,713",*,*,*,35,*
homicide,19_24,2018,Jun,4,"478,713",10.03,0.2,19.85,34,11.76
homicide,19_24,2018,Jul,5,"478,713",12.53,1.55,23.52,41,12.2
homicide,19_24,2018,Aug,*,"478,713",*,*,*,27,*
homicide,19_24,2018,Sep,3,"478,713",7.52,0,16.03,30,10
homicide,19_24,2018,Oct,4,"478,713",10.03,0.2,19.85,31,12.9
homicide,19_24,2018,Nov,3,"478,713",7.52,0,16.03,32,9.38
homicide,19_24,2018,Dec,3,"478,713",7.52,0,16.03,34,8.82
homicide,19_24,2019,Jan,3,"483,312",7.45,0,15.88,36,8.33
homicide,19_24,2019,Feb,0,"483,312",0,0,0,25,0
homicide,19_24,2019,Mar,*,"483,312",*,*,*,36,*
homicide,19_24,2019,Apr,5,"483,312",12.41,1.53,23.3,32,15.63
homicide,19_24,2019,May,*,"483,312",*,*,*,31,*
homicide,19_24,2019,Jun,5,"483,312",12.41,1.53,23.3,32,15.63
homicide,19_24,2019,Jul,*,"483,312",*,*,*,44,*
homicide,19_24,2019,Aug,7,"483,312",17.38,4.51,30.25,46,15.22
homicide,19_24,2019,Sep,5,"483,312",12.41,1.53,23.3,35,14.29
homicide,19_24,2019,Oct,*,"483,312",*,*,*,37,*
homicide,19_24,2019,Nov,6,"483,312",14.9,2.98,26.82,41,14.63
homicide,19_24,2019,Dec,4,"483,312",9.93,0.2,19.66,35,11.43
homicide,19_24,2020,Jan,4,"494,079",9.72,0.19,19.24,36,11.11
homicide,19_24,2020,Feb,3,"494,079",7.29,0,15.53,37,8.11
homicide,19_24,2020,Mar,7,"494,079",17,4.41,29.6,37,18.92
homicide,19_24,2020,Apr,*,"494,079",*,*,*,50,*
homicide,19_24,2020,May,5,"494,079",12.14,1.5,22.79,41,12.2
homicide,19_24,2020,Jun,*,"494,079",*,*,*,41,*
homicide,19_24,2020,Jul,0,"494,079",0,0,0,22,0
homicide,19_24,2020,Aug,0,"494,079",0,0,0,0,*
homicide,19_24,2020,Sep,0,"494,079",0,0,0,0,*
homicide,19_24,2020,Oct,0,"494,079",0,0,0,0,*
homicide,19_24,2020,Nov,0,"494,079",0,0,0,0,*
homicide,19_24,2020,Dec,0,"494,079",0,0,0,0,*
homicide,25_44,2018,Jan,17,"1,630,669",12.51,6.56,18.46,199,8.54
homicide,25_44,2018,Feb,3,"1,630,669",2.21,0,4.71,165,1.82
homicide,25_44,2018,Mar,8,"1,630,669",5.89,1.81,9.97,188,4.26
homicide,25_44,2018,Apr,8,"1,630,669",5.89,1.81,9.97,189,4.23
homicide,25_44,2018,May,11,"1,630,669",8.09,3.31,12.88,203,5.42
homicide,25_44,2018,Jun,3,"1,630,669",2.21,0,4.71,209,1.44
homicide,25_44,2018,Jul,8,"1,630,669",5.89,1.81,9.97,224,3.57
homicide,25_44,2018,Aug,11,"1,630,669",8.09,3.31,12.88,208,5.29
homicide,25_44,2018,Sep,15,"1,630,669",11.04,5.45,16.62,210,7.14
homicide,25_44,2018,Oct,8,"1,630,669",5.89,1.81,9.97,186,4.3
homicide,25_44,2018,Nov,8,"1,630,669",5.89,1.81,9.97,166,4.82
homicide,25_44,2018,Dec,13,"1,630,669",9.57,4.37,14.77,205,6.34
homicide,25_44,2019,Jan,4,"1,659,636",2.89,0.06,5.73,199,2.01
homicide,25_44,2019,Feb,7,"1,659,636",5.06,1.31,8.81,184,3.8
homicide,25_44,2019,Mar,4,"1,659,636",2.89,0.06,5.73,183,2.19
homicide,25_44,2019,Apr,8,"1,659,636",5.78,1.78,9.79,212,3.77
homicide,25_44,2019,May,6,"1,659,636",4.34,0.87,7.81,212,2.83
homicide,25_44,2019,Jun,7,"1,659,636",5.06,1.31,8.81,222,3.15
homicide,25_44,2019,Jul,14,"1,659,636",10.12,4.82,15.43,215,6.51
homicide,25_44,2019,Aug,6,"1,659,636",4.34,0.87,7.81,224,2.68
homicide,25_44,2019,Sep,9,"1,659,636",6.51,2.26,10.76,191,4.71
homicide,25_44,2019,Oct,10,"1,659,636",7.23,2.75,11.71,195,5.13
homicide,25_44,2019,Nov,12,"1,659,636",8.68,3.77,13.59,181,6.63
homicide,25_44,2019,Dec,15,"1,659,636",10.85,5.36,16.33,250,6
homicide,25_44,2020,Jan,10,"1,713,485",7,2.66,11.34,215,4.65
homicide,25_44,2020,Feb,11,"1,713,485",7.7,3.15,12.26,214,5.14
homicide,25_44,2020,Mar,10,"1,713,485",7,2.66,11.34,225,4.44
homicide,25_44,2020,Apr,10,"1,713,485",7,2.66,11.34,273,3.66
homicide,25_44,2020,May,9,"1,713,485",6.3,2.19,10.42,275,3.27
homicide,25_44,2020,Jun,7,"1,713,485",4.9,1.27,8.53,250,2.8
homicide,25_44,2020,Jul,0,"1,713,485",0,0,0,109,0
homicide,25_44,2020,Aug,0,"1,713,485",0,0,0,0,*
homicide,25_44,2020,Sep,0,"1,713,485",0,0,0,0,*
homicide,25_44,2020,Oct,0,"1,713,485",0,0,0,0,*
homicide,25_44,2020,Nov,0,"1,713,485",0,0,0,0,*
homicide,25_44,2020,Dec,0,"1,713,485",0,0,0,0,*
homicide,45_64,2018,Jan,3,"1,434,958",2.51,0,5.35,711,0.42
homicide,45_64,2018,Feb,7,"1,434,958",5.85,1.52,10.19,573,1.22
homicide,45_64,2018,Mar,5,"1,434,958",4.18,0.52,7.85,587,0.85
homicide,45_64,2018,Apr,6,"1,434,958",5.02,1,9.03,615,0.98
homicide,45_64,2018,May,*,"1,434,958",*,*,*,625,*
homicide,45_64,2018,Jun,5,"1,434,958",4.18,0.52,7.85,569,0.88
homicide,45_64,2018,Jul,5,"1,434,958",4.18,0.52,7.85,596,0.84
homicide,45_64,2018,Aug,5,"1,434,958",4.18,0.52,7.85,633,0.79
homicide,45_64,2018,Sep,4,"1,434,958",3.35,0.07,6.62,583,0.69
homicide,45_64,2018,Oct,6,"1,434,958",5.02,1,9.03,581,1.03
homicide,45_64,2018,Nov,*,"1,434,958",*,*,*,604,*
homicide,45_64,2018,Dec,*,"1,434,958",*,*,*,641,*
homicide,45_64,2019,Jan,7,"1,437,130",5.84,1.52,10.17,706,0.99
homicide,45_64,2019,Feb,5,"1,437,130",4.17,0.52,7.83,612,0.82
homicide,45_64,2019,Mar,5,"1,437,130",4.17,0.52,7.83,650,0.77
homicide,45_64,2019,Apr,9,"1,437,130",7.51,2.61,12.42,614,1.47
homicide,45_64,2019,May,8,"1,437,130",6.68,2.05,11.31,609,1.31
homicide,45_64,2019,Jun,4,"1,437,130",3.34,0.07,6.61,596,0.67
homicide,45_64,2019,Jul,8,"1,437,130",6.68,2.05,11.31,636,1.26
homicide,45_64,2019,Aug,3,"1,437,130",2.5,0,5.34,590,0.51
homicide,45_64,2019,Sep,3,"1,437,130",2.5,0,5.34,575,0.52
homicide,45_64,2019,Oct,6,"1,437,130",5.01,1,9.02,619,0.97
homicide,45_64,2019,Nov,4,"1,437,130",3.34,0.07,6.61,617,0.65
homicide,45_64,2019,Dec,3,"1,437,130",2.5,0,5.34,623,0.48
homicide,45_64,2020,Jan,3,"1,451,882",2.48,0,5.29,643,0.47
homicide,45_64,2020,Feb,5,"1,451,882",4.13,0.51,7.75,643,0.78
homicide,45_64,2020,Mar,7,"1,451,882",5.79,1.5,10.07,700,1
homicide,45_64,2020,Apr,4,"1,451,882",3.31,0.07,6.55,807,0.5
homicide,45_64,2020,May,3,"1,451,882",2.48,0,5.29,682,0.44
homicide,45_64,2020,Jun,*,"1,451,882",*,*,*,680,*
homicide,45_64,2020,Jul,0,"1,451,882",0,0,0,268,0
homicide,45_64,2020,Aug,0,"1,451,882",0,0,0,0,*
homicide,45_64,2020,Sep,0,"1,451,882",0,0,0,0,*
homicide,45_64,2020,Oct,0,"1,451,882",0,0,0,0,*
homicide,45_64,2020,Nov,0,"1,451,882",0,0,0,0,*
homicide,45_64,2020,Dec,0,"1,451,882",0,0,0,0,*
homicide,65+,2018,Jan,*,"808,685",*,*,*,"2,705",*
homicide,65+,2018,Feb,*,"808,685",*,*,*,"2,321",*
homicide,65+,2018,Mar,*,"808,685",*,*,*,"2,574",*
homicide,65+,2018,Apr,*,"808,685",*,*,*,"2,345",*
homicide,65+,2018,May,3,"808,685",4.45,0,9.49,"2,271",0.13
homicide,65+,2018,Jun,*,"808,685",*,*,*,"2,013",*
homicide,65+,2018,Jul,5,"808,685",7.42,0.92,13.92,"2,095",0.24
homicide,65+,2018,Aug,0,"808,685",0,0,0,"2,235",0
homicide,65+,2018,Sep,*,"808,685",*,*,*,"2,097",*
homicide,65+,2018,Oct,*,"808,685",*,*,*,"2,350",*
homicide,65+,2018,Nov,0,"808,685",0,0,0,"2,330",0
homicide,65+,2018,Dec,0,"808,685",0,0,0,"2,435",0
homicide,65+,2019,Jan,0,"843,612",0,0,0,"2,547",0
homicide,65+,2019,Feb,0,"843,612",0,0,0,"2,314",0
homicide,65+,2019,Mar,*,"843,612",*,*,*,"2,622",*
homicide,65+,2019,Apr,0,"843,612",0,0,0,"2,312",0
homicide,65+,2019,May,*,"843,612",*,*,*,"2,406",*
homicide,65+,2019,Jun,3,"843,612",4.27,0,9.1,"2,217",0.14
homicide,65+,2019,Jul,3,"843,612",4.27,0,9.1,"2,181",0.14
homicide,65+,2019,Aug,*,"843,612",*,*,*,"2,159",*
homicide,65+,2019,Sep,0,"843,612",0,0,0,"2,251",0
homicide,65+,2019,Oct,0,"843,612",0,0,0,"2,457",0
homicide,65+,2019,Nov,0,"843,612",0,0,0,"2,360",0
homicide,65+,2019,Dec,*,"843,612",*,*,*,"2,547",*
homicide,65+,2020,Jan,*,"883,987",*,*,*,"2,712",*
homicide,65+,2020,Feb,*,"883,987",*,*,*,"2,506",*
homicide,65+,2020,Mar,0,"883,987",0,0,0,"2,723",0
homicide,65+,2020,Apr,*,"883,987",*,*,*,"3,342",*
homicide,65+,2020,May,3,"883,987",4.07,0,8.68,"2,723",0.11
homicide,65+,2020,Jun,0,"883,987",0,0,0,"2,447",0
homicide,65+,2020,Jul,0,"883,987",0,0,0,"1,080",0
homicide,65+,2020,Aug,0,"883,987",0,0,0,0,*
homicide,65+,2020,Sep,0,"883,987",0,0,0,0,*
homicide,65+,2020,Oct,0,"883,987",0,0,0,0,*
homicide,65+,2020,Nov,0,"883,987",0,0,0,0,*
homicide,65+,2020,Dec,0,"883,987",0,0,0,0,*
drug overdose,all ages,2018,Jan,102,"5,695,073",21.49,17.32,25.66,"3,695",2.76
drug overdose,all ages,2018,Feb,79,"5,695,073",16.65,12.98,20.32,"3,146",2.51
drug overdose,all ages,2018,Mar,86,"5,695,073",18.12,14.29,21.95,"3,440",2.5
drug overdose,all ages,2018,Apr,73,"5,695,073",15.38,11.85,18.91,"3,230",2.26
drug overdose,all ages,2018,May,90,"5,695,073",18.96,15.05,22.88,"3,180",2.83
drug overdose,all ages,2018,Jun,64,"5,695,073",13.49,10.18,16.79,"2,880",2.22
drug overdose,all ages,2018,Jul,89,"5,695,073",18.75,14.86,22.65,"3,008",2.96
drug overdose,all ages,2018,Aug,81,"5,695,073",17.07,13.35,20.78,"3,150",2.57
drug overdose,all ages,2018,Sep,66,"5,695,073",13.91,10.55,17.26,"2,975",2.22
drug overdose,all ages,2018,Oct,80,"5,695,073",16.86,13.16,20.55,"3,211",2.49
drug overdose,all ages,2018,Nov,68,"5,695,073",14.33,10.92,17.73,"3,179",2.14
drug overdose,all ages,2018,Dec,96,"5,695,073",20.23,16.18,24.27,"3,357",2.86
drug overdose,all ages,2019,Jan,83,"5,761,907",17.29,13.57,21,"3,546",2.34
drug overdose,all ages,2019,Feb,80,"5,761,907",16.66,13.01,20.31,"3,179",2.52
drug overdose,all ages,2019,Mar,81,"5,761,907",16.87,13.2,20.54,"3,538",2.29
drug overdose,all ages,2019,Apr,83,"5,761,907",17.29,13.57,21,"3,223",2.58
drug overdose,all ages,2019,May,87,"5,761,907",18.12,14.31,21.93,"3,307",2.63
drug overdose,all ages,2019,Jun,84,"5,761,907",17.49,13.75,21.24,"3,109",2.7
drug overdose,all ages,2019,Jul,91,"5,761,907",18.95,15.06,22.85,"3,128",2.91
drug overdose,all ages,2019,Aug,88,"5,761,907",18.33,14.5,22.16,"3,081",2.86
drug overdose,all ages,2019,Sep,85,"5,761,907",17.7,13.94,21.47,"3,092",2.75
drug overdose,all ages,2019,Oct,92,"5,761,907",19.16,15.25,23.08,"3,355",2.74
drug overdose,all ages,2019,Nov,87,"5,761,907",18.12,14.31,21.93,"3,249",2.68
drug overdose,all ages,2019,Dec,121,"5,761,907",25.2,20.71,29.69,"3,506",3.45
drug overdose,all ages,2020,Jan,106,"5,907,198",21.53,17.43,25.63,"3,657",2.9
drug overdose,all ages,2020,Feb,93,"5,907,198",18.89,15.05,22.73,"3,454",2.69
drug overdose,all ages,2020,Mar,118,"5,907,198",23.97,19.65,28.3,"3,733",3.16
drug overdose,all ages,2020,Apr,126,"5,907,198",25.6,21.13,30.06,"4,530",2.78
drug overdose,all ages,2020,May,90,"5,907,198",18.28,14.51,22.06,"3,783",2.38
drug overdose,all ages,2020,Jun,13,"5,907,198",2.64,1.21,4.08,"3,470",0.37
drug overdose,all ages,2020,Jul,0,"5,907,198",0,0,0,"1,500",0
drug overdose,all ages,2020,Aug,0,"5,907,198",0,0,0,0,*
drug overdose,all ages,2020,Sep,0,"5,907,198",0,0,0,0,*
drug overdose,all ages,2020,Oct,0,"5,907,198",0,0,0,0,*
drug overdose,all ages,2020,Nov,0,"5,907,198",0,0,0,0,*
drug overdose,all ages,2020,Dec,0,"5,907,198",0,0,0,0,*
drug overdose,10_18,2018,Jan,*,"667,117",*,*,*,17,*
drug overdose,10_18,2018,Feb,0,"667,117",0,0,0,18,0
drug overdose,10_18,2018,Mar,*,"667,117",*,*,*,19,*
drug overdose,10_18,2018,Apr,0,"667,117",0,0,0,16,0
drug overdose,10_18,2018,May,*,"667,117",*,*,*,13,*
drug overdose,10_18,2018,Jun,*,"667,117",*,*,*,21,*
drug overdose,10_18,2018,Jul,*,"667,117",*,*,*,27,*
drug overdose,10_18,2018,Aug,0,"667,117",0,0,0,9,0
drug overdose,10_18,2018,Sep,0,"667,117",0,0,0,14,0
drug overdose,10_18,2018,Oct,3,"667,117",5.4,0,11.5,21,14.29
drug overdose,10_18,2018,Nov,0,"667,117",0,0,0,13,0
drug overdose,10_18,2018,Dec,0,"667,117",0,0,0,13,0
drug overdose,10_18,2019,Jan,0,"668,842",0,0,0,22,0
